store_id, x, yaxis,storetype, ,APPLES, BANANAS,GRAPESG,MELONCA,ORANGES,CARROTS,CELERY,GREENPE,LETTUCE,ONIONS,TOMATOES,POTATOES,ORANGES1,PEACHES,VEGETABL,MUSHROOM,SPAGHETT,TOMATOS,ORANGEJ,BROCCOLI,GREENBE,GREENPE1,FRENCHF,BREADW,BREADW1,HAMBURGE,ROLLSD,FRENCHO,BAGELS,BREADCR,READY_TO,READY_TO1,FLOURW,MACARONI,NOODLES,POPCORN,RICEWH,SPAGHETT1,MILK1_,MILKWH,CHEESE,CHEESE1,CHEESE2,EVAPORAT,BEEFGR,CHICKEN,CHICKEN1,TURKEY,PORKGR,TURKEY1,EGGSGR,FISHFL,TUNAFIS,BEANSG,BEANSK,BEANSB,MARGARIN,SHORTENI,SALADDR,VEGETABL1,SUGARB,SUGARP,SUGARW,JELLYG,MOLASSES,PANCAKE,CHOCOLAT,FRUITDR,FUDGESIC,BAKINGP,BAKINGS,CHILEPO,CINNAMON,CUMIN,ONIONPO,GARLICP,ITALIAN,OREGANO,PAPRIKA,BLACKPE,SALTAN,VANILLA,CHICKEN2,CATSUP,SOYSAUC,LEMONJU,GELATIN,CHOCOLAT1
45,-89.04976,30.449704,convience,84,1.39,0.59,3.99,2.5,4.99,2.99,1.99,2.99,1.99,1.79,1.59,2.99,0.99,1.59,0,0.79,1,0.49,1.65,1.55,1.63,1.63,1.49,0.99,1.99,0.99,0.99,3.79,1.19,1.19,2,2.35,1.69,1.47,1.89,1.49,3.69,1.17,3.29,3.29,4.59,2.59,3.69,1,2.29,1.19,1.29,2.6,0,3.39,1.37,5.99,0.87,1.19,0.69,0,0.99,4.75,2.99,2.69,1.19,2.23,2.79,2.37,2.59,1.89,2.75,1.19,2.39,0.89,0.89,0.89,0.89,3.07,3.5,2.39,0.89,2.09,2.93,1.49,0.39,1.59,0,1.49,1.15,0.77,1.59,2.39
46,-89.07155,30.42806,convience,0,0,0,3.13292,1.84167,3.098,2.22505,1.93,0,1.522,0,1.63463,2.31,0,0,0.842,0,1.59666,0,0,0,0,2.118,2.26378,1.746,2.666,0,0,2.808,0,1.99,2.924,2.10153,0,1.55704,1.44,0,2.63866,1.30326,3.634,3.826,3.836,0,0,0,3.644,2.75,0,0,0,0,0,5.9775,1.076,0,0.904,0,1.356,3.40133,2.736,2.966,1.584,1.792,2.826,1.88069,0,2.406,2.79564,2.436,3.178,1.83743,0.913742,0,0.916,3.04451,0,0,0,0,2.062,1.9642,0.413454,0,1.696,1.796,0,1.672,1.182,3.984
47,-89.09699,30.44238,convience,0,0,0.69,0,2.07733,3.098,2.17322,0,0,0,0,0,2.31,0.780225,1.56256,0.842,0,1.6526,0.681042,0,0,2.138,0,2.28479,1.746,2.666,1.676,1.882,2.808,0,0,2.924,1.99009,1.872,1.56195,1.44,1.456,2.576,1.30309,3.734,3.826,3.836,2.58492,0,0,0,0,1.65,0,0,2.89632,0,5.9775,1.076,0.997941,0.904,0,0,2.49953,2.736,2.966,0,1.792,2.826,1.85867,0,0,2.66489,2.436,3.178,0,0,1.036,0,0,1.658,0,0,2.422,0,1.96445,0,3.416,1.696,1.796,1.368,0,1.182,3.984
48,-89.09801,30.45078,convience,0,0,0,3.19493,0,0,2.17327,0,0,0,0,0,2.31,0,1.57246,0,0,1.65366,0,0,0,0,0,2.2853,1.746,2.666,1.676,0,2.808,0,1.99,2.924,1.99041,1.872,1.56198,1.44,1.356,2.576,1.30297,3.634,3.826,3.836,0,2.94832,1.356,3.644,2.75,0,0,0,2.89635,1.772,5.9775,1.076,0.997962,0,1.292,0,2.55347,2.736,2.966,0,0,2.826,1.86216,0,2.406,2.78818,0,3.178,0,0.924576,0,0,3.04271,0,0,0,0,0,1.96439,0,0,0,1.796,1.21,0,0,3.984
49,-89.09675,30.43814,convience,0,0,0.69,0,0,0,0,1.93,2.624,1.522,1.72371,1.63463,2.31,0,1.55678,0.842,0.783288,0,0,1.806,0,0,0,0,1.746,2.666,1.676,0,0,0,1.99,2.924,1.98777,1.872,1.56194,0,0,2.576,0,3.734,3.826,0,0,2.93509,0,3.644,0,0,0,0,2.8963,0,0,1.076,0,0.904,1.292,0,2.43726,2.736,2.966,1.584,1.792,2.826,1.85591,0,0,2.6648,2.436,0,1.83743,0,0,0,0,1.658,0,1.574,0,0,1.96449,0.483578,0,0,1.796,1.368,1.97,0,3.984
50,-89.1069,30.49879,convience,0,0,0,0,0,0,0,1.93,0,1.522,1.72371,0,2.31,0.956442,1.59599,0,0.782951,1.656,0,1.806,0,0,0,0,1.746,0,1.676,0,0,0,0,2.924,0,1.872,1.562,1.44,0,2.576,1.3024,3.634,3.826,3.836,0,0,0,0,2.75,0,0,0,0,0,0,1.076,0.997769,0.904,1.292,0,2.48156,2.736,2.966,0,1.792,2.826,1.86211,0,2.406,2.78765,2.436,0,0,0.957433,1.036,0,0,0,1.186,1.574,2.422,0,1.96427,0,3.416,1.696,1.796,1.21,1.672,0,3.984
51,-89.031108,30.43321,convience,0,0,0.69,0,0,0,0,1.93,0,0,0,0,2.31,0.974086,1.80707,0,0,2.19094,0.560378,0,0,0,0,2.25412,2.402,2.794,2.272,0,2.808,0,0,4.3,0,2.054,1.64284,0,1.356,0,1.40115,3.634,3.802,0,2.66658,3.02469,0,0,2.75,0,0,2.17567,0,0,5.714,1.482,0.999183,0.904,1.352,1.356,4.40794,3.182,3.594,1.584,1.792,3.422,2.65272,0,2.406,0,2.692,3.178,1.702,0.934692,1.036,0,0,0,0,1.574,0,2.062,2.04034,0.530524,3.416,0,2.588,0,0,1.182,4.292
52,-89.06962,30.469885,convience,0,0,0.69,0,0,0,0,0,0,1.522,0,0,2.31,0,1.77152,0,0,0,0,1.806,0,2.138,0,2.26004,2.034,2.666,2.004,0,2.808,0,0,3.552,0,2.054,0,1.44,1.356,2.66169,1.30268,3.634,3.694,3.836,0,3.00784,1.356,0,0,0,0,0,2.96435,1.772,0,0,0,0,0,1.356,3.83159,3.134,3.594,1.584,0,2.974,0,2.873,0,2.79649,2.274,3.178,1.83743,0.911988,0,0.916,0,1.658,0,1.574,0,0,1.9638,0.55455,3.416,0,2.19,1.21,1.672,0,3.984
53,-89.03861,30.486689,convience,0,1.38887,0,0,0,0,0,1.93,2.524,0,0,1.8468,0,0,1.81319,0,0.783006,2.23415,0,1.704,0,0,2.118,2.2702,2.034,2.794,2.004,0,0,0,1.99,3.552,2.54375,2.054,1.65637,0,0,2.59045,1.40045,3.634,3.694,0,2.62897,0,1.356,3.644,0,0,2.35,0,2.96454,1.772,0,1.244,0,0,1.352,0,0,3.134,3.594,1.584,0,2.974,2.3603,0,2.406,2.80614,2.274,3.178,0,0,1.036,0.916,3.04441,0,1.186,1.574,0,0,2.17269,0.663803,3.416,0,2.19,1.21,1.672,0,4.292
54,-89.136962,30.462891,convience,0,1.47118,0,0,0,3.098,0,0,0,0,0,0,2.31,0.731017,1.56655,0.842,0.783283,1.656,0.682692,0,0,2.138,0,0,1.746,2.666,1.676,1.882,2.808,0,0,2.924,1.63398,1.872,1.562,0,0,2.576,1.30289,3.994,3.826,3.836,0,0,1.298,0,0,1.65,0,0,0,0,5.9775,1.076,0,0.904,1.292,1.356,0,2.736,2.966,0,0,0,1.85035,0,2.406,0,2.436,3.178,1.83743,0,1.036,0.916,3.04135,1.658,1.186,0,2.422,0,1.96493,0,3.416,0,1.796,1.368,0,1.182,0
