ObjectID,Name,OriginID,Destinatio,Destinat_1,Total_tota,Total_BusL,Total_time
11241,STORE-68 - STORE-29,68,29,52,15.76417649510,19.29764398850,1.57641763580
11251,STORE-68 - STORE-30,68,30,62,17.26700948680,21.91715536550,1.72670093412
11246,STORE-68 - STORE-31,68,31,57,16.51851251640,19.66485878320,1.65185124045
11242,STORE-68 - STORE-32,68,32,53,15.87770400910,19.34188353050,1.58777038725
11253,STORE-68 - STORE-33,68,33,64,17.33793303180,22.05900245550,1.73379328878
11193,STORE-68 - STORE-34,68,34,4,8.32936431866,4.27793744675,0.83293641734
11195,STORE-68 - STORE-35,68,35,6,8.37793966325,4.42067322516,0.83779395144
11200,STORE-68 - STORE-36,68,36,11,9.77330979052,7.43431005575,0.97733096312
11201,STORE-68 - STORE-37,68,37,12,9.92159084508,7.38866032562,0.99215906821
11191,STORE-68 - STORE-38,68,38,2,6.18911583646,0.00000000000,0.61891156961
11202,STORE-68 - STORE-39,68,39,13,10.23005222730,4.71777343703,1.02300521295
11208,STORE-68 - STORE-40,68,40,19,11.39193101050,8.45329013975,1.13919308612
11215,STORE-68 - STORE-41,68,41,26,12.27483792490,6.28274104883,1.22748378032
11214,STORE-68 - STORE-42,68,42,25,12.20438061260,12.02427997380,1.22043804849
11235,STORE-68 - STORE-43,68,43,46,15.08024145490,6.85149204311,1.50802413545
11265,STORE-68 - STORE-44,68,44,76,19.18334946990,6.85149204311,1.91833493014
11267,STORE-68 - STORE-45,68,45,78,20.09798600970,6.85149204311,2.00979858263
11227,STORE-68 - STORE-46,68,46,38,14.45411906200,7.01678499171,1.44541189871
11225,STORE-68 - STORE-47,68,47,36,13.77372326850,7.26794272334,1.37737231750
11238,STORE-68 - STORE-48,68,48,49,15.54761679720,7.26794272334,1.55476167435
11219,STORE-68 - STORE-49,68,49,30,12.62833136610,7.26794272334,1.26283312500
11278,STORE-68 - STORE-50,68,50,89,26.75573040840,7.26794272334,2.67557303153
11256,STORE-68 - STORE-51,68,51,67,17.53749511530,8.50779552221,1.75374950115
11266,STORE-68 - STORE-52,68,52,77,20.05364918430,6.85149204311,2.00536490839
11286,STORE-68 - STORE-53,68,53,97,29.72558976450,6.85149204311,2.97255896567
11213,STORE-68 - STORE-54,68,54,24,12.11140143770,0.00000000000,1.21114015090
11260,STORE-68 - STORE-55,68,55,71,18.00323117520,0.00000000000,1.80032310805
11284,STORE-68 - STORE-56,68,56,95,29.28240050620,0.00000000000,2.92824003126
11280,STORE-68 - STORE-57,68,57,91,28.38523916400,0.00000000000,2.83852387681
11288,STORE-68 - STORE-58,68,58,99,36.95804028440,0.00000000000,3.69580397413
11192,STORE-68 - STORE-59,68,59,3,7.81765004880,2.55906459362,0.78176498728
11199,STORE-68 - STORE-60,68,60,10,9.53326295372,6.88391301683,0.95332627961
11194,STORE-68 - STORE-61,68,61,5,8.32936431866,4.27793744675,0.83293641734
11196,STORE-68 - STORE-62,68,62,7,8.67734144876,5.28293763783,0.86773412976
11197,STORE-68 - STORE-63,68,63,8,9.02126628300,5.02607613196,0.90212661274
11198,STORE-68 - STORE-64,68,64,9,9.38792748944,6.70410971174,0.93879273363
11203,STORE-68 - STORE-65,68,65,14,10.91040912340,9.44960343136,1.09104089731
11209,STORE-68 - STORE-66,68,66,20,11.39193101050,8.45329013975,1.13919308612
11205,STORE-68 - STORE-67,68,67,16,10.95008442700,9.82842359079,1.09500842738
11190,STORE-68 - STORE-68,68,68,1,0.00000000000,0.00000000000,0.00000000000
11207,STORE-68 - STORE-69,68,69,18,11.03643877040,10.00113227760,1.10364386185
11259,STORE-68 - STORE-70,68,70,70,17.96630958030,9.87370159892,1.79663093442
11211,STORE-68 - STORE-71,68,71,22,11.52134757590,10.86589605400,1.15213474221
11245,STORE-68 - STORE-72,68,72,56,16.14574986260,6.85149204311,1.61457496057
11244,STORE-68 - STORE-73,68,73,55,16.03748141300,6.85149204311,1.60374812964
11236,STORE-68 - STORE-74,68,74,47,15.41092580810,6.85149204311,1.54109255248
11240,STORE-68 - STORE-75,68,75,51,15.58945025120,7.26794272334,1.55894501984
11206,STORE-68 - STORE-76,68,76,17,10.95294412650,9.83414298978,1.09529439734
11204,STORE-68 - STORE-77,68,77,15,10.91403614610,6.09291347255,1.09140360422
11254,STORE-68 - STORE-78,68,78,65,17.40948585040,7.26794272334,1.74094857518
11221,STORE-68 - STORE-79,68,79,32,13.10846780090,6.04878904693,1.31084676502
11342,STORE-68 - STORE-80,68,80,153,78.45023624670,0.15814961513,7.84502364801
11341,STORE-68 - STORE-81,68,81,152,77.78483732360,0.15814961513,7.77848375570
11232,STORE-68 - STORE-82,68,82,43,14.87445357640,5.80522241090,1.48744533254
11234,STORE-68 - STORE-83,68,83,45,14.99418274390,5.80522241090,1.49941826175
11243,STORE-68 - STORE-84,68,84,54,15.94472197650,0.15814961513,1.59447221749
11212,STORE-68 - STORE-85,68,85,23,11.90499252320,5.80522241090,1.19049923122
11263,STORE-68 - STORE-86,68,86,74,18.85646796740,0.15814961513,1.88564679986
11248,STORE-68 - STORE-87,68,87,59,16.87299092380,0.15814961513,1.68729909744
11269,STORE-68 - STORE-88,68,88,80,21.67934863040,5.80522241090,2.16793483573
11228,STORE-68 - STORE-89,68,89,39,14.51085377410,5.80522241090,1.45108535042
11229,STORE-68 - STORE-90,68,90,40,14.51085377410,5.80522241090,1.45108535042
11223,STORE-68 - STORE-91,68,91,34,13.21747574490,5.80522241090,1.32174755005
11330,STORE-68 - STORE-92,68,92,141,69.94011571170,25.90297377690,6.99401139799
11346,STORE-68 - STORE-93,68,93,157,83.86853765880,25.90297377690,8.38685359557
